,mfccs0,mfccs1,mfccs2,mfccs3,mfccs4,mfccs5,mfccs6,mfccs7,mfccs8,mfccs9,mfccs10,mfccs11,mfccs12,delta_mfccs0,delta_mfccs1,delta_mfccs2,delta_mfccs3,delta_mfccs4,delta_mfccs5,delta_mfccs6,delta_mfccs7,delta_mfccs8,delta_mfccs9,delta_mfccs10,delta_mfccs11,delta_mfccs12,delta2_mfccs0,delta2_mfccs1,delta2_mfccs2,delta2_mfccs3,delta2_mfccs4,delta2_mfccs5,delta2_mfccs6,delta2_mfccs7,delta2_mfccs8,delta2_mfccs9,delta2_mfccs10,delta2_mfccs11,delta2_mfccs12,target
0,-466.67807,172.61372,-28.629799,50.171173,-26.91371,31.260378,-16.614223,18.461735,-5.1828494,4.069208,-1.2697402,-2.2318609,12.806819,23.144089,23.144089,23.144089,23.144089,23.144089,-10.949277,0.029956954,-2.9271865,1.2450306,1.2450306,1.2450306,1.2450306,1.2450306,-26.750406,-26.750406,-26.750406,-26.750406,-26.750406,9.255709,-1.5448558,1.8694707,-0.7101529,-0.7101529,-0.7101529,-0.7101529,-0.7101529,1
1,-471.50552,180.21027,-33.119137,50.190773,-25.579275,31.903301,-16.241528,15.9590845,-8.921364,2.2185786,1.8538481,4.072871,15.483133,22.88418,22.88418,22.88418,22.88418,22.88418,-11.641651,0.22244938,-2.5703588,1.7201432,1.7201432,1.7201432,1.7201432,1.7201432,-27.203238,-27.203238,-27.203238,-27.203238,-27.203238,9.43163,-1.5614449,2.5734122,-0.100325376,-0.100325376,-0.100325376,-0.100325376,-0.100325376,1
2,-467.9934,178.92264,-37.147926,54.097214,-17.489113,29.95192,-5.966926,10.98239,-6.1537175,0.5560498,3.6914172,2.141411,12.500358,23.029245,23.029245,23.029245,23.029245,23.029245,-11.58652,0.1072524,-3.387669,0.756945,0.756945,0.756945,0.756945,0.756945,-27.447876,-27.447876,-27.447876,-27.447876,-27.447876,8.660973,-2.0381203,2.6416385,0.06513659,0.06513659,0.06513659,0.06513659,0.06513659,1
3,-465.93823,172.33475,-28.096596,60.867775,-27.747683,32.70231,-21.062334,16.950632,-14.281751,6.78721,4.0278106,0.05129357,15.363908,22.106277,22.106277,22.106277,22.106277,22.106277,-11.698242,-0.37606472,-3.2164843,1.908503,1.908503,1.908503,1.908503,1.908503,-27.626902,-27.626902,-27.626902,-27.626902,-27.626902,9.246631,-0.62112325,3.215618,-0.21450777,-0.21450777,-0.21450777,-0.21450777,-0.21450777,1
4,-477.4636,185.11513,-35.854935,56.717407,-18.577389,29.236673,-9.364981,10.696685,-2.9675984,3.4367545,3.8493407,-1.3776405,9.458485,23.33713,23.33713,23.33713,23.33713,23.33713,-11.848009,0.19424559,-3.505041,0.65782106,0.65782106,0.65782106,0.65782106,0.65782106,-27.725763,-27.725763,-27.725763,-27.725763,-27.725763,9.434348,-1.7192317,2.5557356,-0.42663953,-0.42663953,-0.42663953,-0.42663953,-0.42663953,1
5,-471.18286,178.42224,-29.597004,48.351994,-22.993614,28.518713,-14.799739,14.156255,-7.895279,1.3846442,1.7621452,4.8994164,15.812325,22.835226,22.835226,22.835226,22.835226,22.835226,-11.720714,0.0061460077,-2.448445,1.7453004,1.7453004,1.7453004,1.7453004,1.7453004,-27.18159,-27.18159,-27.18159,-27.18159,-27.18159,9.403016,-1.3281128,2.6101353,0.06680053,0.06680053,0.06680053,0.06680053,0.06680053,1
6,-478.8056,183.66115,-30.3211,54.86414,-16.32116,28.260756,-10.26273,7.6760063,-5.6491914,3.2365859,3.3227634,-0.67273957,10.019597,22.969727,22.969727,22.969727,22.969727,22.969727,-12.266673,-0.32580033,-3.4775093,0.6882351,0.6882351,0.6882351,0.6882351,0.6882351,-28.111263,-28.111263,-28.111263,-28.111263,-28.111263,9.453971,-1.2535843,2.7951822,-0.00073191035,-0.00073191035,-0.00073191035,-0.00073191035,-0.00073191035,1
7,-484.8615,186.83015,-31.480087,59.469112,-17.597136,30.439798,-11.170631,9.5328045,-5.565427,3.5519335,2.364411,-1.1372257,10.620337,23.281364,23.281364,23.281364,23.281364,23.281364,-12.48025,-0.48695198,-3.8451872,0.6538005,0.6538005,0.6538005,0.6538005,0.6538005,-28.555664,-28.555664,-28.555664,-28.555664,-28.555664,9.522988,-1.395915,2.919019,-0.066914745,-0.066914745,-0.066914745,-0.066914745,-0.066914745,1
8,-476.92075,187.69221,-36.40556,56.74487,-20.981249,31.930147,-9.890232,10.877388,-7.1219034,1.0147847,1.9871138,1.2225271,12.126128,22.949448,22.949448,22.949448,22.949448,22.949448,-12.325045,-0.1158938,-3.5374446,0.90331227,0.90331227,0.90331227,0.90331227,0.90331227,-27.880283,-27.880283,-27.880283,-27.880283,-27.880283,9.360039,-1.8712059,2.8100157,-0.026793463,-0.026793463,-0.026793463,-0.026793463,-0.026793463,1
9,-478.0886,185.36072,-32.674953,51.091682,-18.21593,27.457237,-7.1535735,10.418578,-3.768564,1.0322181,1.5872879,-0.71484816,10.350024,23.331034,23.331034,23.331034,23.331034,23.331034,-12.014645,-0.021222545,-3.288025,0.6307154,0.6307154,0.6307154,0.6307154,0.6307154,-27.649199,-27.649199,-27.649199,-27.649199,-27.649199,9.424139,-1.7976813,2.2587445,-0.23335636,-0.23335636,-0.23335636,-0.23335636,-0.23335636,1
