,mfccs0,mfccs1,mfccs2,mfccs3,mfccs4,mfccs5,mfccs6,mfccs7,mfccs8,mfccs9,mfccs10,mfccs11,mfccs12,delta_mfccs0,delta_mfccs1,delta_mfccs2,delta_mfccs3,delta_mfccs4,delta_mfccs5,delta_mfccs6,delta_mfccs7,delta_mfccs8,delta_mfccs9,delta_mfccs10,delta_mfccs11,delta_mfccs12,delta2_mfccs0,delta2_mfccs1,delta2_mfccs2,delta2_mfccs3,delta2_mfccs4,delta2_mfccs5,delta2_mfccs6,delta2_mfccs7,delta2_mfccs8,delta2_mfccs9,delta2_mfccs10,delta2_mfccs11,delta2_mfccs12,target
0,-498.91434,162.76424,-34.97919,75.00213,-18.532787,29.326561,-14.205397,18.496681,-2.0313334,-0.1471702,0.3364879,-1.8675994,5.0623775,25.843357,25.843357,25.843357,25.843357,25.843357,-11.024759,-1.0335358,-4.9607415,0.18730159,0.18730159,0.18730159,0.18730159,0.18730159,-29.798935,-29.798935,-29.798935,-29.798935,-29.798935,7.610891,-1.7540805,3.4481566,-0.7474513,-0.7474513,-0.7474513,-0.7474513,-0.7474513,1
1,-461.5089,153.78375,-73.09087,66.36946,-25.63591,32.455093,-17.461153,18.501865,-3.9921052,1.2472306,1.2204952,-6.5526295,2.8838382,25.02611,25.02611,25.02611,25.02611,25.02611,-8.173504,2.186886,-4.33443,0.28607476,0.28607476,0.28607476,0.28607476,0.28607476,-26.560415,-26.560415,-26.560415,-26.560415,-26.560415,6.9391003,-3.9373915,2.660201,-1.2591083,-1.2591083,-1.2591083,-1.2591083,-1.2591083,1
2,-457.3456,145.59865,-68.846275,74.88435,-29.799404,35.448177,-20.379555,20.428392,-5.960449,2.025368,-0.9933231,-7.0917277,3.7571814,24.79212,24.79212,24.79212,24.79212,24.79212,-8.085462,1.424883,-4.8985434,0.44960108,0.44960108,0.44960108,0.44960108,0.44960108,-26.788395,-26.788395,-26.788395,-26.788395,-26.788395,6.4748964,-3.6220183,3.07807,-1.3467728,-1.3467728,-1.3467728,-1.3467728,-1.3467728,1
3,-499.4502,183.8824,-40.274036,60.90267,-9.500885,26.384575,-8.424883,9.812258,-0.7915585,-5.6644263,3.269481,-1.716265,0.23015833,25.02674,25.02674,25.02674,25.02674,25.02674,-12.347412,-0.41134816,-4.4771557,-0.6244384,-0.6244384,-0.6244384,-0.6244384,-0.6244384,-29.340218,-29.340218,-29.340218,-29.340218,-29.340218,8.471799,-2.1947377,3.0482094,-0.21718815,-0.21718815,-0.21718815,-0.21718815,-0.21718815,1
4,-497.46143,165.77666,-28.350262,44.162502,-19.732336,33.4972,-17.712513,22.600704,-7.7816772,-3.7297652,1.7103943,9.697993,9.972767,25.663355,25.663355,25.663355,25.663355,25.663355,-10.957062,-0.17382261,-2.3008823,0.99896896,0.99896896,0.99896896,0.99896896,0.99896896,-28.972363,-28.972363,-28.972363,-28.972363,-28.972363,8.045243,-1.8229202,2.4354718,-0.017439507,-0.017439507,-0.017439507,-0.017439507,-0.017439507,1
5,-491.06458,164.82251,-32.492714,56.061893,-28.84652,34.46329,-23.533972,29.262238,-1.1897153,-1.8871459,-5.7059035,-0.7914455,0.64961666,25.818958,25.818958,25.818958,25.818958,25.818958,-10.353606,-0.27645537,-3.4724689,0.27878478,0.27878478,0.27878478,0.27878478,0.27878478,-28.005003,-28.005003,-28.005003,-28.005003,-28.005003,8.32256,-2.3002224,1.9050959,-1.6482112,-1.6482112,-1.6482112,-1.6482112,-1.6482112,1
6,-526.9,185.82669,-34.592457,55.77886,-4.4015884,29.949387,-5.6947613,14.611161,2.8866484,-5.248851,0.094581164,-2.5577269,-2.811587,27.2911,27.2911,27.2911,27.2911,27.2911,-12.258224,-0.7516121,-4.694548,-1.6573777,-1.6573777,-1.6573777,-1.6573777,-1.6573777,-30.987793,-30.987793,-30.987793,-30.987793,-30.987793,8.319846,-2.6920888,2.2033615,-0.39462793,-0.39462793,-0.39462793,-0.39462793,-0.39462793,1
7,-506.6738,191.22278,-40.10361,60.58134,-9.700835,23.946,-8.776204,9.109555,-0.69486356,-6.9404535,2.2268038,-2.4165475,-1.0127283,25.059925,25.059925,25.059925,25.059925,25.059925,-12.940761,-0.5011371,-4.498337,-0.63965344,-0.63965344,-0.63965344,-0.63965344,-0.63965344,-29.558237,-29.558237,-29.558237,-29.558237,-29.558237,8.986966,-2.1392188,3.0715773,-0.2594283,-0.2594283,-0.2594283,-0.2594283,-0.2594283,1
8,-458.173,129.27255,-59.74484,82.57011,-23.420647,40.89744,-31.34334,27.643606,-11.91563,-0.59706706,-1.1456534,-5.1855187,9.867937,24.921217,24.921217,24.921217,24.921217,24.921217,-8.229443,-0.08914304,-5.7959805,0.45100254,0.45100254,0.45100254,0.45100254,0.45100254,-28.064716,-28.064716,-28.064716,-28.064716,-28.064716,5.04896,-3.0016522,4.0150037,-0.19709744,-0.19709744,-0.19709744,-0.19709744,-0.19709744,1
9,-502.4562,187.15704,-41.23058,63.203697,-12.520037,26.67256,-8.784466,11.1742735,-0.7668483,-3.9794436,3.743582,-2.9625287,0.35315585,25.119503,25.119503,25.119503,25.119503,25.119503,-12.3913,-0.22741143,-4.486007,-0.45850194,-0.45850194,-0.45850194,-0.45850194,-0.45850194,-29.392427,-29.392427,-29.392427,-29.392427,-29.392427,8.806693,-2.1568787,2.9927695,-0.5224037,-0.5224037,-0.5224037,-0.5224037,-0.5224037,1
10,-511.45816,181.0658,-34.18767,57.557426,-12.218358,33.86007,-3.771984,15.7303,-3.859425,-6.3358974,1.9826714,3.2396028,3.3145437,26.192041,26.192041,26.192041,26.192041,26.192041,-12.230498,-0.80684173,-4.2524595,-0.67144465,-0.67144465,-0.67144465,-0.67144465,-0.67144465,-30.427214,-30.427214,-30.427214,-30.427214,-30.427214,7.8667536,-2.5587957,2.6528172,-0.12513189,-0.12513189,-0.12513189,-0.12513189,-0.12513189,1
11,-461.03757,169.77188,-49.05468,59.47125,-36.911816,30.009058,-18.633677,25.88119,-6.123018,-4.1922703,-3.1122887,-10.241075,2.773612,23.6561,23.6561,23.6561,23.6561,23.6561,-10.26606,0.83714557,-3.8890452,0.6493438,0.6493438,0.6493438,0.6493438,0.6493438,-25.87088,-25.87088,-25.87088,-25.87088,-25.87088,8.465926,-2.828797,1.72074,-1.925925,-1.925925,-1.925925,-1.925925,-1.925925,1
12,-478.26828,153.27614,-40.32387,69.96773,-20.572592,42.10733,-20.876865,23.222544,-8.171227,3.6968493,2.690143,-3.8579504,3.5881917,25.021017,25.021017,25.021017,25.021017,25.021017,-9.927565,-0.34731057,-4.8271637,-0.22740643,-0.22740643,-0.22740643,-0.22740643,-0.22740643,-28.980593,-28.980593,-28.980593,-28.980593,-28.980593,6.867424,-2.1671264,3.0061252,-0.7717076,-0.7717076,-0.7717076,-0.7717076,-0.7717076,1
13,-506.25064,190.98488,-38.200584,58.554276,-9.37783,23.376762,-8.164983,8.171897,-0.74954575,-5.892511,3.786148,-2.7105772,-1.0902011,24.97432,24.97432,24.97432,24.97432,24.97432,-12.911806,-0.3890288,-4.2781763,-0.5878942,-0.5878942,-0.5878942,-0.5878942,-0.5878942,-29.515701,-29.515701,-29.515701,-29.515701,-29.515701,9.105668,-1.919871,2.9712486,-0.29690376,-0.29690376,-0.29690376,-0.29690376,-0.29690376,1
14,-465.10376,145.32903,-53.643402,78.570175,-25.579475,34.03329,-18.507519,23.068613,-13.505782,0.9698294,7.897159,-5.8726377,1.0776955,24.422426,24.422426,24.422426,24.422426,24.422426,-9.349252,0.4423986,-4.974442,0.29369116,0.29369116,0.29369116,0.29369116,0.29369116,-28.241875,-28.241875,-28.241875,-28.241875,-28.241875,6.2381525,-2.1905081,3.7112203,-1.1744162,-1.1744162,-1.1744162,-1.1744162,-1.1744162,1
15,-497.8891,152.88312,-27.560646,70.798836,-22.25887,40.164234,-18.230597,26.741163,-3.8568084,3.8994484,1.4609355,-5.7539897,2.2608814,26.428814,26.428814,26.428814,26.428814,26.428814,-10.148504,-1.020513,-4.8867946,-0.385572,-0.385572,-0.385572,-0.385572,-0.385572,-30.013811,-30.013811,-30.013811,-30.013811,-30.013811,7.088108,-1.6704725,2.519098,-1.3607552,-1.3607552,-1.3607552,-1.3607552,-1.3607552,1
16,-496.61884,182.13374,-37.165398,60.767,-12.596769,25.871151,-9.017541,10.2650585,-1.9429929,-3.417622,4.2913866,-3.2260427,0.63340515,24.74162,24.74162,24.74162,24.74162,24.74162,-12.232715,-0.35042107,-4.280178,-0.3572618,-0.3572618,-0.3572618,-0.3572618,-0.3572618,-29.1437,-29.1437,-29.1437,-29.1437,-29.1437,8.684105,-1.8109812,2.9316206,-0.46795622,-0.46795622,-0.46795622,-0.46795622,-0.46795622,1
17,-494.6231,165.62462,-25.930418,43.595154,-20.018408,32.39181,-14.223746,22.56729,-5.07264,-4.7384105,1.2026659,4.4071355,8.061715,25.687332,25.687332,25.687332,25.687332,25.687332,-10.918998,-0.27335572,-2.6366365,0.53189313,0.53189313,0.53189313,0.53189313,0.53189313,-28.667347,-28.667347,-28.667347,-28.667347,-28.667347,7.993016,-1.881994,1.8783971,-0.37806118,-0.37806118,-0.37806118,-0.37806118,-0.37806118,1
18,-502.7792,160.3043,-21.03295,59.052204,-24.277992,35.16604,-18.788805,22.404024,-4.4955997,7.8353233,3.230968,-3.5392807,-2.9426446,26.000595,26.000595,26.000595,26.000595,26.000595,-10.467851,-0.4965367,-3.4701214,-0.021728694,-0.021728694,-0.021728694,-0.021728694,-0.021728694,-29.701975,-29.701975,-29.701975,-29.701975,-29.701975,8.455357,-0.8722273,2.1878273,-1.819231,-1.819231,-1.819231,-1.819231,-1.819231,1
19,-530.16425,179.36893,-22.16482,62.975338,-8.3458395,30.41757,-10.108535,17.790895,-0.73538584,-4.781804,1.951748,-7.184762,-2.2539456,27.075602,27.075602,27.075602,27.075602,27.075602,-12.74077,-1.7368487,-5.179554,-1.4481926,-1.4481926,-1.4481926,-1.4481926,-1.4481926,-31.704863,-31.704863,-31.704863,-31.704863,-31.704863,8.197795,-1.5223695,2.4693077,-0.59601057,-0.59601057,-0.59601057,-0.59601057,-0.59601057,1
20,-497.1922,164.04228,-25.446375,50.63934,-23.375359,33.839703,-19.735268,23.757015,-2.4138649,0.53078324,-3.949892,-4.8342915,5.131469,25.881336,25.881336,25.881336,25.881336,25.881336,-10.584551,-0.54165727,-3.548576,0.10583077,0.10583077,0.10583077,0.10583077,0.10583077,-28.747961,-28.747961,-28.747961,-28.747961,-28.747961,8.385151,-1.8247396,1.5534538,-1.0452923,-1.0452923,-1.0452923,-1.0452923,-1.0452923,1
21,-526.27466,178.51581,-22.894493,48.550217,-2.270726,24.576643,-4.05435,11.380574,2.1653945,-1.8464441,5.80557,-0.49101296,-2.6895506,27.10102,27.10102,27.10102,27.10102,27.10102,-12.039871,-0.6785593,-3.6427076,-1.1730907,-1.1730907,-1.1730907,-1.1730907,-1.1730907,-31.012848,-31.012848,-31.012848,-31.012848,-31.012848,8.524211,-1.4738235,2.1494823,-0.4105762,-0.4105762,-0.4105762,-0.4105762,-0.4105762,1
22,-499.2709,186.33867,-39.13382,60.67821,-15.243235,27.415945,-9.34863,10.400331,-3.0519896,-4.941803,3.9992013,-3.2869177,0.41527814,24.722813,24.722813,24.722813,24.722813,24.722813,-12.525626,-0.2826847,-4.275868,-0.3020168,-0.3020168,-0.3020168,-0.3020168,-0.3020168,-29.205074,-29.205074,-29.205074,-29.205074,-29.205074,8.841831,-1.9548848,2.9248025,-0.5091761,-0.5091761,-0.5091761,-0.5091761,-0.5091761,1
23,-502.81833,189.58374,-36.26617,55.474136,-10.768368,22.16077,-6.7316957,7.0499544,-2.0348225,-5.3356724,5.3040147,-1.6506661,0.21341515,24.688137,24.688137,24.688137,24.688137,24.688137,-12.829922,-0.22987351,-3.842968,-0.26368973,-0.26368973,-0.26368973,-0.26368973,-0.26368973,-29.263844,-29.263844,-29.263844,-29.263844,-29.263844,9.188165,-1.6785585,2.9052763,-0.2792053,-0.2792053,-0.2792053,-0.2792053,-0.2792053,1
24,-551.66956,193.02121,-16.878046,55.415928,-3.1916697,25.526054,-5.7153573,16.772583,2.1596308,-7.5271153,4.3069773,-2.9759881,-3.5681202,27.98344,27.98344,27.98344,27.98344,27.98344,-13.748178,-1.7023318,-4.4883847,-1.521116,-1.521116,-1.521116,-1.521116,-1.521116,-32.57393,-32.57393,-32.57393,-32.57393,-32.57393,8.991766,-1.3274494,2.2881594,-0.47732073,-0.47732073,-0.47732073,-0.47732073,-0.47732073,1
25,-497.255,180.90787,-38.517418,62.10194,-13.65626,27.867352,-8.114672,11.542167,-1.9796108,-3.996083,3.0703714,-4.60721,0.47737512,24.992924,24.992924,24.992924,24.992924,24.992924,-12.093006,-0.41524667,-4.5708084,-0.5676218,-0.5676218,-0.5676218,-0.5676218,-0.5676218,-29.25263,-29.25263,-29.25263,-29.25263,-29.25263,8.427829,-2.0960124,2.7825553,-0.550919,-0.550919,-0.550919,-0.550919,-0.550919,1
26,-510.7743,189.09593,-35.62622,57.727325,-8.751008,23.502045,-5.41254,9.127931,-0.16156746,-5.0642138,3.4726279,-2.9852934,-0.2835922,25.479149,25.479149,25.479149,25.479149,25.479149,-12.735116,-0.48624092,-4.3010187,-0.700236,-0.70023596,-0.70023596,-0.70023596,-0.70023596,-29.861917,-29.861917,-29.861917,-29.861917,-29.861917,8.957296,-1.9628073,2.728413,-0.34563655,-0.34563655,-0.34563655,-0.34563655,-0.34563655,1
27,-513.95734,172.96802,-25.360975,48.63168,-22.431181,36.179432,-19.08136,26.34723,-4.4488964,-3.3969789,-1.0122733,2.9348102,10.7218895,26.637974,26.637974,26.637974,26.637974,26.637974,-11.399047,-0.54264665,-3.0508518,0.65453964,0.65453964,0.65453964,0.65453964,0.65453964,-29.778776,-29.778776,-29.778776,-29.778776,-29.778776,8.48834,-1.9222803,1.9276356,-0.42096916,-0.42096916,-0.42096916,-0.42096916,-0.42096916,1
28,-509.0858,192.1299,-35.987072,59.298363,-10.278928,23.882366,-7.8028893,7.856937,-2.1621165,-5.6038,4.25609,-3.222334,-0.36734945,24.93047,24.93047,24.93047,24.93047,24.93047,-13.164446,-0.55876076,-4.330155,-0.5168427,-0.5168427,-0.5168427,-0.5168427,-0.5168427,-29.812138,-29.812138,-29.812138,-29.812138,-29.812138,9.195211,-1.7242155,3.0173306,-0.26009122,-0.26009122,-0.26009122,-0.26009122,-0.26009122,1
29,-474.03256,163.92287,-51.294952,69.23168,-23.455973,34.684628,-12.658355,14.974632,-5.2339015,4.6257067,4.799275,-3.6263835,4.9782243,24.517935,24.517935,24.517935,24.517935,24.517935,-9.945366,0.78821886,-4.322665,0.38950148,0.38950148,0.38950148,0.38950148,0.38950148,-28.036818,-28.036818,-28.036818,-28.036818,-28.036818,7.7278323,-2.4813821,3.0228236,-1.0078449,-1.0078449,-1.0078449,-1.0078449,-1.0078449,1
30,-503.5388,175.0535,-27.972153,49.622635,-24.736717,34.43507,-19.930162,24.850286,-8.783268,-3.500543,2.172304,6.8831234,9.477968,25.488482,25.488482,25.488482,25.488482,25.488482,-11.689795,-0.27449322,-2.5825887,1.1676167,1.1676167,1.1676167,1.1676167,1.1676167,-29.213678,-29.213678,-29.213678,-29.213678,-29.213678,8.703565,-1.6030931,2.5278285,-0.3966126,-0.3966126,-0.3966126,-0.3966126,-0.3966126,1
31,-521.3516,183.69838,-30.283693,55.62847,-13.418236,34.847965,-2.244789,16.77472,-5.4977355,-5.729926,1.7032106,1.5801828,3.5678406,26.632364,26.632364,26.632364,26.632364,26.632364,-12.498157,-0.9726637,-4.253959,-0.77446145,-0.77446145,-0.77446145,-0.77446145,-0.77446145,-31.077873,-31.077873,-31.077873,-31.077873,-31.077873,8.057864,-2.4509215,2.344202,-0.20408696,-0.20408696,-0.20408696,-0.20408696,-0.20408696,1
32,-505.49634,165.89513,-21.401161,57.857147,-21.474226,35.070362,-19.137766,21.548332,-5.08627,5.0014787,4.1085424,-5.7719774,-4.5390286,25.838999,25.838999,25.838999,25.838999,25.838999,-11.081851,-0.62123847,-3.7309077,-0.41400775,-0.41400775,-0.41400775,-0.41400775,-0.41400775,-29.892166,-29.892166,-29.892166,-29.892166,-29.892166,8.557241,-0.8906092,2.1582081,-1.6291559,-1.6291559,-1.6291559,-1.6291559,-1.6291559,1
33,-497.3096,164.25899,-23.63697,59.016563,-29.848875,34.23603,-22.28554,21.358904,-10.22383,5.4836106,8.803694,-0.5895526,0.9220918,24.95942,24.95942,24.95942,24.95942,24.95942,-11.043568,-0.074387304,-2.7984982,1.0818381,1.0818381,1.0818381,1.0818381,1.0818381,-29.291227,-29.291227,-29.291227,-29.291227,-29.291227,8.818892,-0.30877054,2.8059828,-1.555013,-1.555013,-1.555013,-1.555013,-1.555013,1
34,-507.32602,191.8209,-38.521114,58.15007,-11.933138,24.960503,-7.192334,8.701557,-2.1429005,-5.9329095,4.0772805,-3.0188906,-0.76261556,25.01404,25.01404,25.01404,25.01404,25.01404,-12.933948,-0.30889717,-4.223033,-0.52252215,-0.52252215,-0.52252215,-0.52252215,-0.52252215,-29.588705,-29.588705,-29.588705,-29.588705,-29.588705,9.115424,-1.9798858,2.859587,-0.392161,-0.392161,-0.392161,-0.392161,-0.392161,1
35,-557.07837,195.93149,-13.323358,54.051907,-2.1901312,23.974657,-4.748785,15.383465,2.8984392,-6.707829,4.2022943,-1.2397258,-4.247169,28.088917,28.088917,28.088917,28.088917,28.088917,-14.02979,-1.8431776,-4.261783,-1.4676739,-1.4676739,-1.4676739,-1.4676739,-1.4676739,-32.848278,-32.848278,-32.848278,-32.848278,-32.848278,9.325267,-1.0903897,2.3343682,-0.48091462,-0.48091462,-0.48091462,-0.48091462,-0.48091462,1
36,-497.0206,163.45766,-24.585098,51.847195,-26.155937,26.54055,-18.09938,24.852192,-1.7212639,2.1594453,2.820381,-8.568877,-2.7195787,25.884096,25.884096,25.884096,25.884096,25.884096,-10.37558,0.12899429,-3.118657,0.12606546,0.12606546,0.12606546,0.12606546,0.12606546,-28.386581,-28.386581,-28.386581,-28.386581,-28.386581,8.790192,-1.1256212,1.4258683,-2.132583,-2.132583,-2.132583,-2.132583,-2.132583,1
37,-499.5841,172.57013,-29.611855,49.868427,-27.640425,34.168484,-20.555677,24.19346,-8.545342,-2.0051441,2.9500158,7.3596,10.625631,25.35729,25.35729,25.35729,25.35729,25.35729,-11.322779,0.04736514,-2.3100152,1.557506,1.557506,1.557506,1.557506,1.557506,-28.841469,-28.841469,-28.841469,-28.841469,-28.841469,8.77097,-1.5217357,2.560808,-0.5436512,-0.5436512,-0.5436512,-0.5436512,-0.5436512,1
38,-518.1951,186.27751,-34.011726,60.85749,-9.384229,27.718174,-5.5886674,10.996547,-0.36852404,-3.9823,4.4702907,-3.006244,0.3125403,26.15284,26.15284,26.15284,26.15284,26.15284,-12.600599,-0.65469205,-4.5345364,-0.80411845,-0.80411845,-0.80411845,-0.80411845,-0.80411845,-30.606413,-30.606413,-30.606413,-30.606413,-30.606413,8.634086,-1.9423999,2.7638347,-0.39815685,-0.39815685,-0.39815685,-0.39815685,-0.39815685,1
39,-502.7703,168.85052,-23.984154,49.813896,-29.169716,35.412464,-21.870337,27.069248,-3.9170997,1.9381206,-5.643051,-5.907119,4.082789,25.998253,25.998253,25.998253,25.998253,25.998253,-10.760639,-0.46834832,-3.354992,0.2729119,0.2729119,0.2729119,0.2729119,0.2729119,-28.819105,-28.819105,-28.819105,-28.819105,-28.819105,8.941861,-1.7908777,1.2638466,-1.4947461,-1.4947461,-1.4947461,-1.4947461,-1.4947461,1
40,-497.8265,183.0848,-39.78523,63.168144,-15.027201,29.996302,-9.300199,11.954274,-2.8116472,-3.2107658,3.4879713,-5.170323,-0.42641982,24.907768,24.907768,24.907768,24.907768,24.907768,-12.182704,-0.32758084,-4.628899,-0.61142415,-0.61142415,-0.61142415,-0.61142415,-0.61142415,-29.314205,-29.314205,-29.314205,-29.314205,-29.314205,8.55185,-2.1235209,2.8045368,-0.6598017,-0.6598017,-0.6598017,-0.6598017,-0.6598017,1
41,-503.3164,170.94519,-27.63954,48.594875,-24.756334,35.332134,-19.351332,27.628656,-5.9930134,-1.5226275,-3.82778,-0.50532764,9.5153675,26.044294,26.044294,26.044294,26.044294,26.044294,-11.024319,-0.42137176,-3.2327726,0.524504,0.524504,0.524504,0.524504,0.524504,-29.061369,-29.061369,-29.061369,-29.061369,-29.061369,8.532042,-2.1404572,1.6325178,-0.6958198,-0.6958198,-0.6958198,-0.6958198,-0.6958198,1
